"system","baseline_type","local_path","branch","head","dirty","origin","artifact_sha256","ownership_note"
"UAA","git","C:\Users\18177\uaa-reference-surface","main","b666caafee5f632ce005a967db1fa454c4bbe5c9","False","https://github.com/ORYNTH-systems/uaa-core.git","","Inherited authority; not copied into financial repository"
"UAA Execution Prevention Lab","git","C:\Users\18177\uaa-execution-prevention-lab","main","f0d7a886fa74a78083b123308576f1573be9fe8c","True","https://github.com/ORYNTH-systems/uaa-execution-prevention-lab.git","","Inherited authority; not copied into financial repository"
"EIP","git","C:\Users\18177\eip-protocol","main","51abd693b79e35760c5211b846500c3312d9f891","True","https://github.com/ORYNTH-systems/eip-protocol.git","","Inherited authority; not copied into financial repository"
"AOMS","git","C:\Users\18177\aoms-reference-runtime","master","994ac6458d9694d4c07e76025b1d8c551e8fd86a","True","https://github.com/ORYNTH-systems/aoms-reference-runtime.git","","Inherited authority; not copied into financial repository"
"Proof-of-Block","git","C:\Users\18177\proof-of-block","main","fb82d86cef49b66e8d07c6f356ab4880575e6d54","True","https://github.com/ORYNTH-systems/proof-of-block.git","","Inherited authority; not copied into financial repository"
"Runtime Enforcement Surface","git","C:\Users\18177\runtime-enforcement-surface","main","92cbbb2185e3875503775c70a79c59840233e1cc","False","https://github.com/ORYNTH-systems/runtime-enforcement-surface.git","","Inherited authority; not copied into financial repository"
"Settlement Demonstration Surface","git","C:\Users\18177\settlement-demo","main","487d3006d33d3118101beb5a8ae99c3aa080f084","False","https://github.com/ORYNTH-systems/settlement-demo.git","","Inherited authority; not copied into financial repository"
"Banking Reasoning Lab Parent","git","C:\Users\18177\cigcs-reference-lab","master","ac7ea251a6a045e920f8c26d79eb6bf0e719d7f3","True","https://github.com/ORYNTH-systems/cigcs-reference-lab.git","","Inherited authority; not copied into financial repository"
"Morning Star","git","C:\Users\18177\morning-star","master","31f240efae6270e3d963638a0da60eceef716829","False","https://github.com/ORYNTH-systems/morning-star.git","","Inherited authority; not copied into financial repository"
"UES Source Package","artifact","C:\Users\18177\iCloudDrive\UES_FINAL_HEADER_NORMALIZED_Source_and_Figures.zip","","","","","61AACB39AA26D34B4255F3741D055895EEAAB9EEB1F88FA7174BED4466320895","Recovered stabilized UES source package; no tracked Git owner identified"
"UES Provisional Filing","artifact","C:\Users\18177\iCloudDrive\UES_Provisional_Filing_2026.pdf","","","","","31F4E2AF8C82774E9CF4BB54FB355081443558F64BFF2F5ADE63C9AAA96B4A2C","Canonical recovered filing PDF"
